time,id,clone_id,parent_id,size,S,R1,R2,R3
43,4,1,1,1,0.7628859,0.00071364123,0.07031117,0.16608922
43,5,1,1,1,0.78452146,0.011180623,0.15436547,0.04993244
43,6,1,1,1,0.14109692,0.07185073,0.3857477,0.40130463
43,7,1,1,1,0.65139335,0.058828983,0.20143236,0.08834528
43,8,1,3,1,0.0008305762,0.046269044,0.95289814,2.282901e-06
43,9,2,1,1,0.4578839,0.0005417643,0.48164546,0.059928898
43,10,2,7,1,0.70986336,0.0014329291,0.17204784,0.11665588
43,11,2,7,1,0.35436538,0.27114305,0.08945762,0.28503397
43,12,2,5,1,0.43281788,0.029390156,0.38857,0.1492219
43,13,2,9,1,0.0013872548,1.3178121e-05,1.4543471e-05,0.998585
43,14,2,11,1,0.12838686,0.0031965515,0.0054257843,0.8629908
43,15,2,12,1,0.015011549,4.748453e-05,0.9260828,0.058858227
43,16,2,14,1,3.4439018e-10,2.590365e-12,2.0607897e-07,0.99999976
44,0,0,-1,1,0.20385401,0.23850003,0.24976273,0.30788323
44,1,1,0,1,0.24207266,0.043948624,0.30491427,0.40906438
44,2,1,0,1,0.91051835,0.04108726,0.044188324,0.0042061727
44,3,1,2,1,0.13372979,0.290939,0.56552565,0.009805492
44,4,1,1,1,0.79048735,0.0005438224,0.062391847,0.14657699
44,5,1,1,1,0.8133663,0.008801575,0.13605337,0.041778672
44,6,1,1,1,0.16274716,0.07305378,0.36487216,0.39932692
44,7,1,1,1,0.68428504,0.05392738,0.1815117,0.08027585
44,8,1,3,1,0.0008447296,0.046707083,0.95244586,2.3220782e-06
44,9,2,1,1,0.51866275,0.0004065703,0.42496324,0.055967342
44,10,2,7,1,0.7601077,0.001025217,0.1460699,0.09279723
44,11,2,7,1,0.3831472,0.23771453,0.075948745,0.30318952
44,12,2,5,1,0.4945513,0.03780221,0.33058888,0.13705763
44,13,2,9,1,0.001416113,1.3424152e-05,1.498068e-05,0.9985555
44,14,2,11,1,0.79227895,0.026838273,0.033414386,0.14746843
44,15,2,12,1,0.017103221,5.8423557e-05,0.9140304,0.06880793
44,16,2,14,1,3.4439018e-10,2.590365e-12,2.0607897e-07,0.99999976
45,0,0,-1,1,0.20529196,0.23813333,0.24927397,0.30730078
45,1,1,0,1,0.24696353,0.045082197,0.30134386,0.40661046
45,2,1,0,1,0.91882235,0.037322346,0.04021027,0.003645116
45,3,1,2,1,0.1447621,0.29443657,0.54959136,0.011210005
45,4,1,1,1,0.81728226,0.00039413932,0.05402533,0.12829831
45,5,1,1,1,0.8373536,0.0070779403,0.12013268,0.035435818
45,6,1,1,1,0.18964288,0.07389777,0.34128916,0.39517024
45,7,1,1,1,0.71580327,0.04896878,0.16251439,0.07271353
45,8,1,3,1,0.000859347,0.047155924,0.9519824,2.3625507e-06
45,9,2,1,1,0.58247316,0.00028174202,0.36767614,0.049568996
45,10,2,7,1,0.8021694,0.00070992764,0.11776057,0.07936003
45,11,2,7,1,0.40552464,0.22070916,0.06862647,0.30513978
45,12,2,5,1,0.5539735,0.04548968,0.27829856,0.12223825
45,13,2,9,1,0.0014461398,1.3679663e-05,1.543986e-05,0.9985247
45,14,2,11,1,0.8918351,0.029993048,0.024372648,0.05379921
45,15,2,12,1,0.019700605,7.327477e-05,0.8987015,0.0815247
45,16,2,14,1,3.4439018e-10,2.590365e-12,2.0607897e-07,0.99999976
