time,clone_id,parent_id,mutation_size,vaf,S,R1,R2,R3
58,2,1,26,0.3170731707317073,0.6072298,0.016735058,0.16219825,0.2138368
58,3,0,12,0.14634146341463414,0.42820135,0.08560779,0.20437409,0.28181675
58,4,1,12,0.14634146341463414,0.5847109,0.05487101,0.26893649,0.091481574
59,0,-1,43,0.5,0.6349025,0.052017156,0.16325724,0.14982319
59,1,0,39,0.45348837209302323,0.6640782,0.032547176,0.15466562,0.14870903
59,2,1,26,0.3023255813953488,0.6485586,0.015756328,0.15131214,0.18437289
59,3,0,12,0.13953488372093023,0.4949948,0.08534335,0.20023285,0.21942896
59,4,1,14,0.16279069767441862,0.65197116,0.07812042,0.22288716,0.04702122
60,0,-1,48,0.5,0.63473004,0.067152895,0.15308866,0.14502838
60,1,0,43,0.4479166666666667,0.66929597,0.04901458,0.14165662,0.14003286
60,2,1,26,0.2708333333333333,0.6633939,0.015032474,0.14201425,0.17955944
60,3,0,12,0.125,0.5049074,0.085143246,0.19976012,0.21018921
60,4,1,19,0.19791666666666666,0.63678074,0.110821925,0.18735042,0.065046884
61,0,-1,53,0.5,0.6083085,0.08064702,0.13805668,0.17298788
61,1,0,47,0.44339622641509435,0.6496686,0.045997955,0.1291378,0.1751957
61,2,1,28,0.2641509433962264,0.6617646,0.013474887,0.12481581,0.19994478
61,3,0,13,0.12264150943396226,0.46973085,0.15531704,0.1840381,0.19091402
61,4,1,24,0.22641509433962265,0.5703673,0.13238698,0.15142907,0.14581667
62,0,-1,65,0.5,0.5960586,0.073979706,0.15977308,0.17018862
62,1,0,58,0.4461538461538462,0.63153785,0.036067482,0.15766793,0.1747268
62,2,1,37,0.2846153846153846,0.6362972,0.0126496265,0.14647765,0.2045756
62,3,0,16,0.12307692307692308,0.5302461,0.16402301,0.15058145,0.15514949
62,4,1,35,0.2692307692307692,0.5604868,0.08917216,0.19453031,0.15581076
62,5,3,8,0.06153846153846154,0.4446063,0.07677374,0.3863942,0.09222576
63,0,-1,70,0.5,0.5988059,0.060345158,0.14688817,0.19396068
63,1,0,63,0.45,0.6241836,0.0313443,0.1435931,0.200879
63,2,1,41,0.29285714285714287,0.61381143,0.010039332,0.12913397,0.24701518
63,3,0,18,0.12857142857142856,0.4986075,0.11989358,0.13394333,0.24755563
63,4,1,38,0.2714285714285714,0.5579308,0.07831611,0.17823596,0.1855171
63,5,3,13,0.09285714285714286,0.46098503,0.014528082,0.25653812,0.26794875
64,0,-1,76,0.5,0.6115815,0.054160286,0.12081062,0.21344754
64,1,0,69,0.45394736842105265,0.6343898,0.028530251,0.11524223,0.22183768
64,2,1,45,0.29605263157894735,0.613191,0.008739697,0.092973806,0.28509548
64,3,0,18,0.11842105263157894,0.5052815,0.11429971,0.13375495,0.24666387
64,4,1,40,0.2631578947368421,0.588547,0.07290591,0.14477536,0.19377175
64,5,3,15,0.09868421052631579,0.6152069,0.010070155,0.15686925,0.21785365
64,6,2,4,0.02631578947368421,0.22078575,0.0011124756,0.028116345,0.74998546
65,0,-1,79,0.5,0.62445384,0.050880123,0.11144982,0.21321605
65,1,0,71,0.44936708860759494,0.64211243,0.026667994,0.10677216,0.22444735
65,2,1,47,0.2974683544303797,0.6200894,0.008647972,0.083739854,0.2875227
65,3,0,20,0.12658227848101267,0.5565835,0.1018559,0.1202091,0.22135155
65,4,1,41,0.25949367088607594,0.6128278,0.06965726,0.1344546,0.18306036
65,5,3,17,0.10759493670886076,0.6816537,0.0060099354,0.13115272,0.18118368
65,6,2,5,0.03164556962025317,0.19001353,0.005354724,0.015484726,0.789147
65,7,5,2,0.012658227848101266,0.9999206,4.681303e-05,2.9555744e-05,3.0023475e-06
