time,clone_id,parent_id,mutation_size,vaf,S,R1,R2,R3,T1,T2,T3
38,5,3,1,0.03333333333333333,0.9993135,4.879422e-09,3.1185954e-07,0.00068623177,1.0,0.0,0.0
38,6,3,2,0.06666666666666667,1.0,2.2220981e-13,5.356547e-10,1.8298528e-10,1.0,0.0,0.0
38,7,0,2,0.06666666666666667,0.054347873,0.38268247,0.40620714,0.15676256,1.0,0.0,0.0
38,8,0,1,0.03333333333333333,0.23203078,0.3784579,0.22417732,0.16533402,1.0,0.0,0.0
38,9,7,1,0.03333333333333333,0.016881488,2.2983218e-06,0.73404795,0.24906829,1.0,0.0,0.0
38,10,1,1,0.03333333333333333,0.01826964,0.47113967,0.2503929,0.2601977,1.0,0.0,0.0
38,11,2,1,0.03333333333333333,0.023100816,0.25525087,4.46821e-06,0.7216438,1.0,0.0,0.0
38,12,6,1,0.03333333333333333,1.0,2.0990016e-13,9.525439e-10,3.6545936e-10,1.0,0.0,0.0
38,13,3,1,0.03333333333333333,0.96713233,0.022100363,0.007037265,0.0037299572,1.0,0.0,0.0
38,14,4,1,0.03333333333333333,0.99957603,4.660404e-07,3.4568875e-05,0.00038895622,1.0,0.0,0.0
39,0,-1,16,0.5,0.57696456,0.24954203,0.09298163,0.08051176,1.0,0.0,0.0
39,1,0,8,0.25,0.82712835,0.10728584,0.028512754,0.037073087,1.0,0.0,0.0
39,2,0,4,0.125,0.50878185,0.39398658,0.012810301,0.0844213,1.0,0.0,0.0
39,3,1,6,0.1875,0.9955695,0.0023601875,0.0009876656,0.0010825883,1.0,0.0,0.0
39,4,2,2,0.0625,0.6224763,0.35694364,0.010768454,0.009811681,1.0,0.0,0.0
39,5,3,1,0.03125,0.9993319,4.749508e-09,3.04108e-07,0.00066766946,1.0,0.0,0.0
39,6,3,3,0.09375,0.99999994,5.585143e-10,2.2586002e-09,6.2744185e-08,1.0,0.0,0.0
39,7,0,2,0.0625,0.046699036,0.40470168,0.39594564,0.15265371,1.0,0.0,0.0
39,8,0,1,0.03125,0.23155984,0.39151406,0.21588567,0.16104034,1.0,0.0,0.0
39,9,7,1,0.03125,0.017980924,2.6174714e-06,0.7273561,0.25466043,1.0,0.0,0.0
39,10,1,1,0.03125,0.0219163,0.52421796,0.19222142,0.26164427,1.0,0.0,0.0
39,11,2,1,0.03125,0.033958647,0.7185715,9.395513e-06,0.24746048,1.0,0.0,0.0
39,12,6,1,0.03125,1.0,2.0990016e-13,9.525439e-10,3.6545936e-10,1.0,0.0,0.0
39,13,3,1,0.03125,0.9782535,0.014096767,0.004511587,0.0031382048,1.0,0.0,0.0
39,14,4,1,0.03125,0.9995797,4.6199486e-07,3.434037e-05,0.00038551437,1.0,0.0,0.0
39,15,6,1,0.03125,0.99999976,1.6750984e-09,5.704491e-09,1.8786658e-07,1.0,0.0,0.0
40,0,-1,16,0.5,0.5760417,0.26924962,0.08823858,0.06647001,1.0,0.0,0.0
40,1,0,8,0.25,0.8282313,0.11396637,0.023036677,0.034765683,1.0,0.0,0.0
40,2,0,4,0.125,0.50585175,0.44699007,0.01166578,0.03549242,1.0,0.0,0.0
40,3,1,6,0.1875,0.9965131,0.0017198784,0.00077126455,0.0009957792,1.0,0.0,0.0
40,4,2,2,0.0625,0.6152149,0.36611217,0.009599279,0.009073706,1.0,0.0,0.0
40,5,3,1,0.03125,0.99934965,4.626269e-09,2.9674354e-07,0.00065007276,1.0,0.0,0.0
40,6,3,3,0.09375,0.99999994,5.5846744e-10,2.2584514e-09,6.273905e-08,1.0,0.0,0.0
40,7,0,2,0.0625,0.040875826,0.4217376,0.38699657,0.15038995,1.0,0.0,0.0
40,8,0,1,0.03125,0.23081903,0.40504107,0.20754065,0.15659936,1.0,0.0,0.0
40,9,7,1,0.03125,0.019193783,2.997701e-06,0.72037727,0.26042593,1.0,0.0,0.0
40,10,1,1,0.03125,0.024211444,0.5783276,0.15175825,0.24570268,1.0,0.0,0.0
40,11,2,1,0.03125,0.02338662,0.917934,7.47226e-06,0.058671933,1.0,0.0,0.0
40,12,6,1,0.03125,1.0,2.0990016e-13,9.525439e-10,3.6545936e-10,1.0,0.0,0.0
